segment_id;machine_translation;reference_or_original;batch_id
1;Australia to Reopen Embassy in Manila;Australia Reopens Embassy in Manila;1
2;Australia to Reopen Embassy in Manila;Australia Reopened Manila Embassy;2
3;Australia to Reopen Embassy in Manila;Australia Reopens Embassy In Manila;3
4;Australia to Reopen Embassy in Manila;Australia Reopens Its Embassy to Manila;4
5;But all this is beyond the control of you. "";But all this is beyond your control."";1
6;But all this is beyond the control of you. "";However, you cannot choose yourself."";2
7;But all this is beyond the control of you. "";However, not everything is up to you to decide."";3
8;But all this is beyond the control of you. "";But you can't choose that."";4
9;The circumstance is exactly the opposite . "";The situation is exactly the opposite."";1
10;The circumstance is exactly the opposite . "";The situation is quite the contrary."";2
11;The circumstance is exactly the opposite . "";It is on the contrary."";3
12;The circumstance is exactly the opposite . "";Quite the contrary."";4
13;(Hong-Kong, Macao and Taiwan) inland guest has gradually become Hong Kong gold line main buyer;(HK, Macau, Taiwan) Mainland Visitors, A Growing Clientele for HK Jewelry Shops;1
14;(Hong-Kong, Macao and Taiwan) inland guest has gradually become Hong Kong gold line main buyer;(Hong Kong, Macau and Taiwan) Mainland Customers Become Major Shoppers for Hong Kong's Gold Shops;2
15;(Hong-Kong, Macao and Taiwan) inland guest has gradually become Hong Kong gold line main buyer;(Hong Kong, Macao and Taiwan) Mainland Tourists Gradually Become Major Customers of Gold Businesses in Hong Kong;3
16;(Hong-Kong, Macao and Taiwan) inland guest has gradually become Hong Kong gold line main buyer;(Hongkong, Macau and Taiwan) People Come From Mainland Have Gradually Become Major Buyers of Hongkong Jewelry Shops;4
17;Underground ventilation system has been returned to normal.;The underground ventilation system has resumed normal operation.;1
18;Underground ventilation system has been returned to normal.;The ventilation system in the pit has already resumed normal operation.;2
19;Underground ventilation system has been returned to normal.;The ventilation system has already returned to normal.;3
20;Underground ventilation system has been returned to normal.;Aeration under the mine has been restored to normal.;4
21;Diplomats will be aboard the plane to return home.;Diplomatic staff will take the fifth plane home.;1
22;Diplomats will be aboard the plane to return home.;Diplomatic staff would go home in a fifth plane.;2
23;Diplomats will be aboard the plane to return home.;Diplomats are to come back home aboard the fifth plane.;3
24;Diplomats will be aboard the plane to return home.;Diplomatic staff would be airlifted on a fifth plane.;4
25;The state has stopped importing beef Paraguay.;These countries have already stopped beef imports from Paraguay.;1
26;The state has stopped importing beef Paraguay.;These countries have suspended the import of Paraguayan beef.;2
27;The state has stopped importing beef Paraguay.;These countries have stopped importing beef from Paraguay.;3
28;The state has stopped importing beef Paraguay.;These countries have stopped importing beef from Paraguay.;4
29;the Albanian another added that the company 's annual income figure announced on February 4 .;Alcatel added that the company's annual income will be announced on February 4.;1
30;the Albanian another added that the company 's annual income figure announced on February 4 .;Alcatel further said that the company would announce the profit and loss for the full year on February 4.;2
31;the Albanian another added that the company 's annual income figure announced on February 4 .;Alcatel added that the company's whole year earnings would be announced on February 4.;3
32;the Albanian another added that the company 's annual income figure announced on February 4 .;The total revenue of the whole year would be released in April, added Alcatel.;4
33;Schuster and his party on the 8th at noon on a special plane from Beijing arrived in Shanghai for a visit.;Schuster and his entourage arrived in Shanghai for a visit from Beijing on a charter plane at the noon of the 8th.;1
34;Schuster and his party on the 8th at noon on a special plane from Beijing arrived in Shanghai for a visit.;Schuster and his party arrived in Shanghai from Beijing in private plane on the 8th at noon.;2
35;Schuster and his party on the 8th at noon on a special plane from Beijing arrived in Shanghai for a visit.;Schuster arrived in Shanghai for a visit at noon of January 8 from Beijing.;3
36;Schuster and his party on the 8th at noon on a special plane from Beijing arrived in Shanghai for a visit.;The Schuste delegation flied to Shanghai from Beijing on Wednesday afternoon.;4
