klo	k	kup	kwlo	kw	kwup
j1_j2	-0.0123628651806788	0.0959119496855346	0.204186764551748	0.270216090249072	0.422081849338082	0.573947608427091
j1_j3	-0.0182597798615924	0.0791180285343709	0.176495836930334	0.348356260872093	0.496241184220724	0.644126107569354
j1_j4	-0.0586780694867343	0.0735461801596351	0.205770429806004	0.264154627802915	0.443153205500677	0.62215178319844
j1_j5	0.0108725730444066	0.120042027843446	0.229211482642486	0.318984820988107	0.458623356535189	0.598261892082272
j1_j6	0.0217551381937243	0.130434782608696	0.239114427023667	0.304298589153179	0.445964888859222	0.587631188565264
j1_j7	0.0686975294423524	0.1917502787068	0.314803027971249	0.318093946312794	0.472866949983655	0.627639953654515
j1_j8	0.184258075997437	0.312060889929742	0.439863703862048	0.47028632929236	0.617099651027531	0.763912972762701
j1_j9	0.0109863998300241	0.125874125874126	0.240761851918228	0.325081896714394	0.471580516225187	0.618079135735981
j1_j10	0.190786075502147	0.327114237651017	0.463442399799887	0.514384611757872	0.651916841502956	0.789449071248041
j1_j11	-0.0817099572030118	-0.0140313642259167	0.0536472287511783	0.107208087317691	0.20332416895776	0.299440250597829
j1_j12	-0.065758187298485	0.0275526742301459	0.120863535758777	0.208325754641917	0.33314653964696	0.457967324652003
j1_j13	-0.0752582692265117	-0.00683207479323985	0.061594119640032	0.0842292726119073	0.189989723750226	0.295750174888545
j1_j14	0.132458739849517	0.258139854375601	0.383820968901685	0.449532400513254	0.584527220630372	0.71952204074749
j1_j15	0.0181346919000267	0.149351554873797	0.280568417847568	0.376520265975039	0.533167348390539	0.689814430806038
j1_j16	0.118941797725629	0.236861051115911	0.354780304506192	0.462629450953599	0.60906958561376	0.755509720273922
j1_j17	-0.0396277322713715	0.0496982149736741	0.13902416221872	0.355137724344326	0.493282149712092	0.631426575079858
j1_j18	-0.0857753391750581	-0.00265764677458324	0.0804600456258916	0.134853126132752	0.246853110022647	0.358853093912541
j1_j19	0.0260996463282775	0.140131667338439	0.2541636883486	0.417835213007114	0.542660617591102	0.66748602217509
j1_j20	0.173358504844824	0.301968448973894	0.430578393102963	0.570232202529464	0.676601695655974	0.782971188782484
j1_j21	0.357111842149972	0.497334348819497	0.637556855489023	0.685539223651986	0.787895927601809	0.890252631551633
j1_j22	0.158706329266061	0.284009546539379	0.409312763812698	0.496193827881247	0.626207039767417	0.756220251653588
j1_j23	-0.10111831924486	-0.0101010101010101	0.08091629904284	0.374095099555874	0.498339330196512	0.62258356083715
j1_j24	-0.0594461220568852	0.0400830198469321	0.139612161750749	0.136274433323096	0.28904336835453	0.441812303385965
j1_j25	-0.0451079481420488	0.05	0.145107948142049	0.283289864846802	0.409500711762535	0.535711558678267
klo	k	kup	kwlo	kw	kwup
j2_j1	-0.0123628651806788	0.0959119496855346	0.204186764551748	0.270216090249072	0.422081849338082	0.573947608427091
j2_j3	0.139896723826161	0.264393832225209	0.388890940624256	0.310847173819463	0.505562422744129	0.700277671668794
j2_j4	0.105751210647857	0.233355749831876	0.360960289015896	0.3409607086653	0.496591089265895	0.65222146986649
j2_j5	0.158163149029118	0.282845668387837	0.407528187746556	0.396300750153216	0.548393718567176	0.700486686981135
j2_j6	0.101267746579253	0.230066553569098	0.358865360558943	0.493062297919209	0.6237949682577	0.754527638596192
j2_j7	0.109693330455561	0.23096976016684	0.352246189878119	0.399424662435902	0.543928779918272	0.688432897400642
j2_j8	0.0299656936086666	0.155835454910894	0.281705216213121	0.509604495253202	0.62380810488677	0.738011714520338
j2_j9	0.0256447486486559	0.142523060932831	0.259401373217006	0.237129361307914	0.421679949220678	0.606230537133442
j2_j10	-0.0266100841100683	0.0614441246402202	0.149498333390509	0.292261326025752	0.417590631618288	0.542919937210825
j2_j11	0.0306236138100011	0.14598345342941	0.261343293048819	0.183325492219133	0.341848673946958	0.500371855674783
j2_j12	-0.0743865137966541	0.0384615384615384	0.151309590719731	0.0642457521284458	0.260344196265104	0.456442640401763
j2_j13	0.0126905047166679	0.126226643366044	0.23976278201542	0.0588079519129882	0.236921945389353	0.415035938865718
j2_j14	0.0549217473642916	0.174960712414877	0.294999677465462	0.531121020900866	0.625905068382945	0.720689115865024
j2_j15	0.204589413676386	0.335456181641977	0.466322949607568	0.557886185309119	0.676307381873213	0.794728578437308
j2_j16	0.0429336566185513	0.154040404040404	0.265147151462257	0.487503663450002	0.600771841107193	0.714040018764384
j2_j17	0.130414779437985	0.257286995515695	0.384159211593405	0.351625758466462	0.532219570405727	0.712813382344993
j2_j18	0.0764670740282144	0.196840026333114	0.317212978638013	0.411370756491487	0.545909335796198	0.680447915100909
j2_j19	0.177848766187457	0.307911521237617	0.437974276287777	0.406454081483987	0.585766135395297	0.765078189306607
j2_j20	0.117679828555305	0.242321742659992	0.366963656764678	0.401008033378789	0.543963517081366	0.686919000783944
