klo	k	kup	kwlo	kw	kwup
j1_j4	-0.0586780694867343	0.0735461801596351	0.205770429806004	0.264154627802915	0.443153205500677	0.62215178319844
j1_j10	0.190786075502147	0.327114237651017	0.463442399799887	0.514384611757872	0.651916841502956	0.789449071248041
j1_j20	0.173358504844824	0.301968448973894	0.430578393102963	0.570232202529464	0.676601695655974	0.782971188782484
j1_j21	0.357111842149972	0.497334348819497	0.637556855489023	0.685539223651986	0.787895927601809	0.890252631551633
j2_j6	0.101267746579253	0.230066553569098	0.358865360558943	0.493062297919209	0.6237949682577	0.754527638596192
j2_j8	0.0299656936086666	0.155835454910894	0.281705216213121	0.509604495253202	0.62380810488677	0.738011714520338
j2_j15	0.204589413676386	0.335456181641977	0.466322949607568	0.557886185309119	0.676307381873213	0.794728578437308
j2_j25	0.180431763145615	0.305555555555556	0.430679347965497	0.408884934724009	0.575720249093273	0.742555563462537
j4_j10	0.0217587909598223	0.137931034482759	0.254103278005695	0.341345045610833	0.489985163204748	0.638625280798663
j4_j20	0.0184806545719135	0.147330164942689	0.276179675313465	0.393481263759899	0.527013848254339	0.660546432748779
j4_j21	0.00146509169837508	0.120603015075377	0.239740938452379	0.251401315785179	0.428676741614449	0.605952167443718
j5_j7	0.0518179181854105	0.155672823218997	0.259527728252584	0.451307893177027	0.561651583710407	0.671995274243787
j5_j16	-0.08425465920249	0.0037359900373599	0.0917266392772098	0.430294106663508	0.535198174596468	0.640102242529428
j5_j19	0.0258997301705039	0.144555603885747	0.263211477600991	0.458514251556121	0.572076716848834	0.685639182141547
j5_j22	0.133053109518431	0.25517652316401	0.377299936809589	0.435315378981094	0.559156439890384	0.682997500799674
j6_j8	0.0399084894909023	0.158576051779935	0.277243614068968	0.440917665073126	0.567435669920142	0.693953674767158
j6_j15	0.188583348490883	0.317047543997899	0.445511739504914	0.593392231854006	0.695681173920293	0.79797011598658
j6_j25	0.219039598899093	0.345818368394048	0.472597137889003	0.605925446235635	0.707741453136682	0.80955746003773
j7_j16	0.181286827131933	0.30289775833789	0.424508689543846	0.513270104991066	0.640204271123491	0.767138437255916
j7_j19	0.0508254465580909	0.169084674228436	0.28734390189878	0.406356762983708	0.532352039251763	0.658347315519819
j7_j22	0.140250742624688	0.26530612244898	0.390361502273271	0.465275953793262	0.577833850931676	0.690391748070091
j8_j15	0.220205610149764	0.358883031770908	0.497560453392051	0.607455668748702	0.711093990755008	0.814732312761314
j8_j25	-0.048594871580215	0.0554156171284635	0.159426105837142	0.327410357391027	0.458050152331849	0.588689947272671
j9_j13	-0.0260099816761322	0.0797546012269939	0.18551918413012	0.125448208713767	0.274760142026139	0.42407207533851
j9_j14	0.0254918080665317	0.145411517223245	0.265331226379958	0.384695204259762	0.516627996906419	0.648560789553077
j9_j18	0.0079901218081737	0.113924050632911	0.219857979457649	0.297393922315796	0.436272921661375	0.575151921006953
j9_j24	-0.0338674313355672	0.0828092243186583	0.199485879972884	0.254918101223335	0.412300306266038	0.569682511308741
j10_j20	0.0872280583881372	0.204315576534053	0.321403094679968	0.420421189542649	0.557631883578634	0.694842577614619
j10_j21	0.120528902198326	0.258542875564152	0.396556848929979	0.39912797491874	0.564888384411653	0.730648793904566
j13_j14	-0.0303047225177829	0.0662573548222052	0.162819432162193	0.0894201901690919	0.214229867083659	0.339039543998226
j13_j18	-0.0862409181476643	0.0384615384615385	0.163163995070741	-0.032884249330981	0.159392175881022	0.351668601093024
j13_j24	0.0403884090844417	0.168193994078669	0.295999579072896	0.117151693693716	0.281141188363472	0.445130683033229
j14_j18	-0.0519631141532267	0.0466633216256899	0.145289757404606	0.358368524121101	0.460622104566512	0.562875685011922
j14_j24	0.0394955810697544	0.158766190412605	0.278036799755456	0.270777968806551	0.430379746835443	0.589981524864335
j15_j25	0.0237952464473466	0.140254074169126	0.256712901890906	0.427085617747215	0.54939693725437	0.671708256761526
j16_j19	0.0788839217917161	0.188562596599691	0.298241271407666	0.462262125979702	0.581963698728026	0.70166527147635
j16_j22	0.16163461666464	0.283202596700027	0.404770576735414	0.535514484410211	0.643510935542923	0.751507386675635
j18_j24	0.0477234964830983	0.172095548317047	0.296467600150995	0.30271675089829	0.446812369638161	0.590907988378032
j19_j22	0.0847172069438387	0.212266141510761	0.339815076077683	0.461132182813864	0.577687024317802	0.69424186582174
j20_j21	0.215995913449596	0.337031524827493	0.45806713620539	0.546441717963316	0.666172106824926	0.785902495686535
