klo	k	kup	kwlo	kw	kwup
j3_j11	-0.0764559930002357	0.0397996103534651	0.156055213707166	0.127737840391725	0.296213253612357	0.464688666832989
j3_j12	0.0339970537199035	0.145186743819043	0.256376433918182	0.317684360452765	0.467945922372437	0.61820748429211
j3_j17	0.352341201613579	0.493029150823828	0.633717100034077	0.728611847085961	0.807807807807808	0.887003768529654
j3_j23	0.576008290659474	0.692591454042422	0.809174617425371	0.80878069288052	0.874508948057617	0.940237203234713
j11_j12	0.00427106477513044	0.122925381190123	0.241579697605115	0.363865064371305	0.496086105675147	0.628307146978988
j11_j17	-0.0604768767480927	0.0599130068752631	0.180302890498619	0.192480755124629	0.348101265822785	0.503721776520941
j11_j23	-0.00819045912612353	0.114799446749654	0.237789352625432	0.162503041952162	0.325603407477519	0.488703773002876
j12_j17	-0.00955222892889025	0.104556228601528	0.218664686131945	0.255203248983686	0.410989010989011	0.566774772994336
j12_j23	0.0942859049181239	0.213527329925285	0.332768754932446	0.321007487504902	0.481757877280265	0.642508267055628
j17_j23	0.346504472356227	0.485238455715367	0.623972439074508	0.714942251085754	0.796703296703296	0.878464342320839
